TYPE,BRAND,FLEET,QAIG,REG/PLAT,MODEL,CAPACITY,CHASIS,FLEET S/N,OWNERSHIP,REMARKS
TYPE-> TRAILER,BRAND-> LOAD-KING,FLEET-> T-8259,QAIG-TR-073,REG/PLATE-> 48568,MODEL-> 2-AXLE-FLATBED,N/A,CHASIS-> UAE2S0121A043824,S/N-> N/A,OWNERSHIP-> SARENS-GULF,
TYPE-> TRAILER,BRAND-> LOAD-KING,FLEET-> T-7202,QAIG-TR-075,REG/PLATE-> 48578,MODEL-> 2-AXLE-FLATBED,N/A,CHASIS-> UAE2S0121A043823,S/N-> N/A,OWNERSHIP-> SARENS-GULF,
TYPE-> TRAILER,BRAND-> LOAD-KING,FLEET-> T-7201,QAIG-TR-074,REG/PLATE-> 48579,MODEL-> 2-AXLE-FLATBED,N/A,CHASIS-> UAE2S0121A043821,S/N-> N/A,OWNERSHIP-> SARENS-GULF,
TYPE-> TRAILER,BRAND-> AL-JABER,FLEET-> T-8953,QAIG-TR-027,REG/PLATE-> 22088,MODEL-> 4-AXLE-LOWBED,N/A,CHASIS-> LB4-329,S/N-> N/A,OWNERSHIP-> SARENS-GULF,
TYPE-> TRAILER,BRAND-> AL-JABER,FLEET-> T-9346,QAIG-TR-071,REG/PLATE-> 41903,MODEL-> 4-AXLE-LOWBED,N/A,CHASIS-> LB4-879,S/N-> N/A,OWNERSHIP-> SARENS-GULF,
TYPE-> TRAILER,BRAND-> AL-JABER,FLEET-> T-9344,QAIG-TR-070,REG/PLATE-> 41913,MODEL-> 4-AXLE-LOWBED,N/A,CHASIS-> LB4-878,S/N-> N/A,OWNERSHIP-> SARENS-GULF,
TYPE-> TRAILER,BRAND-> LODICO,FLEET-> T-5496,QAIG-TR-008,REG/PLATE-> 12235,MODEL-> 4-AXLE-LOWBED,N/A,CHASIS-> L00049,S/N-> N/A,OWNERSHIP-> SARENS-GULF,
TYPE-> TRAILER,BRAND-> LODICO,FLEET-> T-2529,QAIG-TR-025,REG/PLATE-> 22651,MODEL-> 3-AXLE-HIGHBED,N/A,CHASIS-> L00107,S/N-> N/A,OWNERSHIP-> SARENS-GULF,
TYPE-> TRAILER,BRAND-> ATM,FLEET-> T-5497,QAIG-TR-068,REG/PLATE-> 36021,MODEL-> 2-AXLE-FLATBED,N/A,CHASIS-> ATM003996,S/N-> N/A,OWNERSHIP-> SARENS-GULF,
TYPE-> TRAILER,BRAND-> ATM,FLEET-> T-5499,QAIG-TR-069,REG/PLATE-> 36022,MODEL-> 2-AXLE-FLATBED,N/A,CHASIS-> ATM003998,S/N-> N/A,OWNERSHIP-> SARENS-GULF,
TYPE-> N/A,BRAND-> N/A,FLEET-> W/SHOP,N/A,REG/PLATE-> N/A,MODEL-> N/A,N/A,N/A,S/N-> N/A,OWNERSHIP-> N/A,
TYPE-> N/A,BRAND-> N/A,FLEET-> SHEQ,N/A,REG/PLATE-> N/A,MODEL-> N/A,N/A,N/A,S/N-> N/A,OWNERSHIP-> N/A,
TYPE-> CRANE,BRAND-> N/A,FLEET-> K-5954,QAIG-AT-131,REG/PLATE-> N/A,MODEL-> N/A,N/A,N/A,S/N-> 045086,OWNERSHIP-> N/A,
TYPE-> CRANE,BRAND-> SANY,FLEET-> K-30593,QAIG-CC-185,REG/PLATE-> N/A,MODEL-> N/A,N/A,N/A,S/N-> N/A,OWNERSHIP-> N/A,
TYPE-> CRANE,BRAND-> TEREX-DEMAG,FLEET-> K-0629,QAIG-CC-55,REG/PLATE-> 67263,MODEL-> N/A,N/A,N/A,S/N-> N/A,OWNERSHIP-> N/A,
TYPE-> CRANE,BRAND-> N/A,FLEET-> K-8799,N/A,REG/PLATE-> ,MODEL-> N/A,N/A,N/A,S/N-> N/A,OWNERSHIP-> N/A,
